Chemical Name
Disperse Black BSF
Disperse Yellow 2G
Acid Brown K
PIGMENT RED 58:1
Disperse Red  50
Disperse Black 3BL
Acidic sanding agent
Direct Yellow Brown MD
C. I. Solvent Yellow 14
C.I.Acid Blue 25
Neutral sizing agent
C.I.Mordant Green 17
Transparent Yellow GS
Sulphur Olive Green
Cationic Red 6B
Leather Spray Black 1
Leather Spray Green B
C.I.Acid Blue 350
Leather Spray Black 3
Direct Red 3B
Disperse Grass Green GL
Vat Golden Orange 3G
Magentagreencrystals
ACID BROWN85 (C.I. 34900)
C.I.Direct Yellow 49
Basic Violet 11
Leather Spray Black GN
Navy Blue GR
C.I.Acid Brown 121
Sulphur Dark Green
Disperse Violet DP
Acid brilliant red
Solvent Yellow GK
C.I.Acid Blue 45
Sulphur Blue BN
C.I.Acid Green 3
C.I.Acid Red 444
C.I. Acid Orange 142
C.I. Direct Blue 85
Disperse Violet 26
Solvent Red 149
"1,8-Bis(phenylthio)-9,10-anthracenedione"
Vat Yellow 2
2-Hydroxy-N-(4-methoxyphenyl)-11H-benzo[a]carbazole-3-carboxamide
Solvent Violet 8
Disperse Yellow 64
FAST ORANGE GR SALT
N-(4-Ethoxyphenyl)-3-hydroxy-2-naphthamide
BASIC RED 29
Disperse Blue 165
Dispersing agent
Disperse Red 74
Vat Voilet 3
Solvent Blue 104
Acid Blue 225
Solvent Green  20
Reactive Red 15
Fast Scarlet RC Base
Direct Yellow  86
Disperse Yellow 114
Disperse Red 127
"barium [29H,31H-phthalocyaninedisulphonato(4-)-N29,N30,N31,N32]cuprate(2-)"
"trisodium 2-[[6-[(4-amino-6-chloro-1,3,5-triazin-2-yl)methylamino]-1-hydroxy-3-sulphonato-2-naphthyl]azo]naphthalene-1,5-disulphonate"
Aluminium dihydrogen tripolyphosphate
Vat Green 13
Disperse Red 98
Direct Yellow  28
Acid Green  40
Direct Green  59
SOLVENT ORANGE 24
Sulfur Yellow GC
Disperse Violet RN
Basic Brown RC
Acid Blue 7BF
Double Sulphur Black
Vat Brown 5R
C.I.Solvent Orange 62
Solvent Orange 5A
Leather Yellow GL
Direct Blue 219
Leather Spray Black B
Disperse Red 73
Vat black 22
CALCOMINE DARK GREEN BG
Neutral dissociator
Naphthol AS-LC
DISPERSE RED 13
ACID BLACK 235
DIRECT YELLOW 50
Disperse Brown 1
Solvent Red 196
Solvent Yellow 93
Acid Yellow 44
Disperse Red 86
Solvent Blue 122
Disperse Blue 291
Disperse Violet 77
Vat Brown 72
Basic Blue 159
Reactive Brown 2
Reactive Blue 74
Sulphur Orange 1
Vat Blue  19
6 SULPHUR RED 6
BLACK BO SULPHAR DYES BLACK BO
Disperse Blue 143
Direct Black  19
Reactive Orange 5
Solvent Red 210
Solvent Red  13
Solvent Blue  58
Neutral red paper
"2,4-dichloro-3-ethyl-6-[α-(2,4-ditertamylphenoxy)-n-butyramido]phenol"
Sulfur Black Green
Vat Brown GN
Disperse Red  53
SOLVENT BROWN 20
C.I. Disperse Blue F press cake
Acid Yellow PL
Direct Red 239
Basic Brown GN
Disperse Orange 41
Water-proofing agent for leather
C.I.Disperse Red 50
Vat Blue BB
Direct Turquoise Blue
Disperse Yellow 5GR
Brilliant Red B
C.I. Acid blue 72
ACID BROWN 14
Aizen
DISPERSE BLACK 1
Manual Registration
BASIC ORANGE 21
Vat Orange 9
ACID BLUE 80
Disperse Orange 29
SOLVENT RED 135
3-Hydroxy-2-naphthoyl-ortho-phenetidide
VAT DYES
CI 11875
Disperse Orange 73
Vat Red 14
Basic Blue  57
Direct Yellow 106
Vat Violet 1
Vat Brown 23
Acid Brown 121
Direct Violet  12
DISPERSE VIOLET S
Disperse Yellow FL
Vat Brown R-M
Solvent Red 28
C.I.Basic Yellow 96
Cationic Red B
Leather slipping agent
"N,N'-m-Phenylenedimaleimide"
Solvent Black 34
Solvent Red 31
disodium 5-((4-acetylamino-2-sulphophenyl)azo)-6-amino-4-hydroxynaphthalene-2-disulphonate
Direct Black 168
4-[(3-chlorophenyl)azo]-3-hydroxy-N-phenylnaphthalene-2-carboxamide
"[1,3,8,10-tetrahydro-1,3,8,10-tetraoxoanthra[2,1,9-def:6,5,10-d'e'f']diisoquinoline-2,9-diyl]di-m-phenylene bis(thiocyanate)"
3-[ethyl[4-[(6-nitrobenzothiazol-2-yl)azo]phenyl]amino]propiononitrile
"disodium 8-[[3,3'-dimethoxy-4'-[[4-[[(p-tolyl)sulphonyl]oxy]phenyl]azo][1,1'-biphenyl]-4-yl]azo]-7-hydroxynaphthalene-1,3-disulphonate"
"2-[2-[4-(diethylamino)phenyl]vinyl]-1,3,3-trimethyl-3H-indolium chloride"
1-amino-4-[(1-methylethyl)amino]anthraquinone
"Copper, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, aminosulfonyl sulfo derivs., sodium salts"
"2-[3-(1,3-dihydro-1,3,3-trimethyl-2H-indol-2-ylidene)prop-1-enyl]-1,3,3-trimethyl-3H-indolium chloride"
"2-[(4-aminophenyl)azo]-1,3-dimethyl-1H-imidazolium chloride"
"1,1'-[(6-phenyl-1,3,5-triazine-2,4-diyl)diimino]bis[3-acetyl-4-aminoanthraquinone]"
CATIONIC DYES
Solvent Violet  49
Acid Black 210
DIRECT VIOLET 51
Cationic Blue GL
Direct Red 254
Neutral Black LD
Sulphur Blue RN
Direct Grey GL
Direct Brilliant Yellow 2G
C.I.Acid Red 211
Disperse Yellow GSL
Turquoise Blue X-GB
Solvent Orange 6A
Solvent Blue 3R
Disperse Violet 2RL
Direct Fast Blue
LEATHERSPRAYINGBLUERL
Disperse Blue 60
Vat Orange 15
CI NO 46040
METHYL VIOLET
Solvent Red 135
DIRECT YELLOW 62 (C.I. 36900)
SOLVENT ORANGE 60
Direct Blue 199
Solvent Red 52
Vat Yellow 33
Vat Red 15
Basic Red  22
Vat Blue 14
sodium 5-chloro-2-(2-hydroxy-1-naphthylazo)toluene-4-sulfonate
Basic Red 1:1
VAT BROWN 3
Naphtanilide EL
Cationic Black X-O
DIRECT BLACK 170
"3(or5)-[[4-[benzylmethylamino]phenyl]azo]-1,2(or1,4)-dimethyl-1H-1,2,4-triazolium bromide"
Disperse Blue 284
"4-[(4-nitrophenyl)azo]benzene-1,3-diamine"
Direct Red 79
3-[[4-[(2-chloro-4-nitrophenyl)azo]phenyl]ethylamino]propiononitrile
Disperse Yellow Se-Fl
Disperse Yellow 119
10 SULPHUR BROWN 10
2-[[4-[(2-cyano-3-nitrophenyl)azo]-m-tolyl](2-acetoxyethyl)amino]ethyl acetate
3-(3-amino-3-oxopropyl)-2-[[1-methyl-2-(p-tolyl)-1H-indol-3-yl]azo]benzothiazolium chloride
Disperse Red 97
2-[(2-cyanoethyl)[4-[(6-nitrobenzothiazol-2-yl)azo]phenyl]amino]ethyl acetate
23 PIGMENT VIOLET 23
Agar neutral red
"3-｛4-hydroxy-3-[N-γ-(2,4-ditertamylphenoxy)-n-butylamino]formyl｝naphthyl-β-mercaptopropionic acid"
Disperse Violet  57
DIRECT YELLOW 117
DISPERSE ORANGE 45
Catonic Black L
Disperse Black 3G
Disperse Black PNR
Disperse Blue 5R
Vat Brown 3G
C.I. Direct Yellow 44 (29000)
acid red 54
Light Fast Rose Red Lake
Sulphur Yellow G
Disperse Yellow GL
Yellow 39009.
Flavine 10GFF
C.I.Acid Black 77
Alkaline Peptone Water
DIRECT GREEN 1
Disperse Violet RB
Disperse Violet R
Acid Fruit Green
Sulphur Lemon Yellow
Acid Violet 4BS
Vat Brown B
Acid Complex Green B
Disperse Black ECY
C.I.Acid Blue 185
C.I.Mordant Green 17
C.I.Direct Black 168
Acid Black 8GB
Direct Red 45
Acid brown 97
Solvent Green 28
SOLVENT GREEN 1
Solvent Green B
Disperse Blue 56
REMASTRAL BLUE FFRL
Disperse Orange 76
REACTIVE BLUE 5
DISPERSE YELLOW 49
DIRECT DYES
Solvent Orange 45
4'-Chloro-3-hydroxy-2'-methyl-2-naphthanilide
Vat Orange 3
Acid Blue 221
Acid Orange 116
Reactive Yellow 18
Vat Black 9
Vat Green   8
Vat Blue 64
Vat Black 8
Vat Black 25
Disperse Blue 148
Reactive Yellow 3
Disperse Red 277
Reactive Blue 222
Basic Violet 11:1
"disodium 3,3'-[cyclohexylidenebis[(2-methoxy-4,1-phenylene)azo]]bis(4,6-dihydroxynaphthalene-2-sulphonate)"
3-[[2-(acetyloxy)ethyl][4-[(4-nitrophenyl)azo]phenyl]amino]propiononitrile
Pigment Yellow 63
REACTIVE DYES
DISPERSE NAVY BLUE EXSF 300% & BLUE 56 100%
195 RED 195 150%
18 BASIC RED 18
Direct Yellow  24
Reactive Blue  49
SOLVENT YELLOW 133
Direct Green NB
Direct Scarlet G
Direct Yellow Brown 3G
Acid Black BNG
Direct Green DB
Acid Blue 185
Reductive cleaner
Disperse Blue GB
Acid Mordant Orange R
Chrom-tin-Pink Stannite Pigment
Solvent Green BG
Disperse Blue 183
Acid Red 111
Acid Green  54
Acid Brown  97
Reactive Black  31
Acid Yellow 232
LITHOL RUBIN BCA
DISPERSE BLUE 26
Vat Brown 3
SULPHUR BLACK
CALCOCHROME FAST RED ECB
Disperse Red 60
Solvent Blue 97
BASIC YELLOW 28
Alkaline Agar
Solvent Yellow 16
Vat Green 11
Acid Green 4
Disperse Orange  29
Direct Violet 9
Solvent Yellow 18
Vat Brown 57
Vat Orange 11
Disperse Violet 33
Acid Black 107
Disperse Blue BGL
Reactive Violet 8
Reactive Blue 14
Sulphur Brown 1
sodium 2-[3-(4-sulfonato-o-tolyliminio)-6-o-toluidino-3H-xanthen-9-yl]benzoate
Reactive Orange 1
Direct Violet 66
Reactive Violet 2
Iron oxide brown
N-(4-chloro-2-methylphenyl)-4-[(4-chloro-2-methylphenyl)azo]-3-hydroxynaphthalene-2-carboxamide
Acid Scarlet Red
Vat Brown LG
C.I. Disperse Blue B press cake
Disperse Navy Blue RE
Disperse Red 2GH
Disperse Black JW
C.I.Acid Blue 25
Acid Black 242
Solvent Red KL
Leather retanning agent
Disperse Yellow Brown
Softening agent for leather
Disperse Red 17
Sulphur Blue 2RN
Disperse Blue BS
"Benzoic acid, 5-4-4-4-(4-amino-9,10-dihydro-9,10-dioxo-3-sulfo-1-anthracenyl)amino-2-sulfophenylamino-6-(phenylamino)-1,3,5-triazin-2-ylaminophenylazo-2-hydroxy-, trisodium salt"
organicpigment
NEUTRAL ORANGE S-R
Acid yellow 17
Navitan Green 5GL
Pigment Red 190
1-[(4-nitrophenyl)azo]naphthalen-2-amine
"7,7'-[(4,6-dihydroxy-m-phenylene)diazo]bis(naphthalene-1,3-disulphonic) acid, compound with N,N'-di(o-tolyl)guanidine (1:4)"
2 VAT ORANGE 2
SULPHUR YELLOW GC 250%
Bronze Red
Solvent Blue  94
Disperse Red  65
pigment yellow 155
ACID BROWN 189
ACID RED 252
Sulphur Red Brown
Solvent Blue HL
Solvent Orange 63
2-Hydroxy-N-(4-methoxy-2-methylphenyl)-11H-benzo[a]carbazole-3-carboxamide
Vat Brown 1
C.I. 564100
PROCION YELLOW H-E3G
C.I. 60752
Solvent Red 197
Vat Violet 13
Acid Blue 183
Catonic Yellow X-8GL
Reactive Blue 198
Vat Orange 4
Sulphur Red  10
Sulphur Blue 10
"Vat Blue 6, Solubilized"
Direct Red  31
Solvent Yellow 21
Tracid Red 2bs
Solvent Yellow 63
Acid Orange  33
Disperse Brown 19
Vat Brown 22
pentazinc chromate octahydroxide
"2,2'-[(3,3'-dimethoxy[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[N-(2,4-dimethylphenyl)-3-oxobutyramide]"
"tetrasodium [mu-[[7,7'-(carbonyldiimino)bis[4-hydroxy-3-[(2-hydroxy-5-sulphophenyl)azo]naphthalene-2-sulphonato]](8-)]]dicuprate(4-)"
4-[(4-chloro-3-sulphophenyl)azo]-3-hydroxy-2-naphthoic acid
2-[ethyl[3-methyl-4-[(5-nitrothiazol-2-yl)azo]phenyl]amino]ethanol
Vat Pink 3B
Direct Brown 116
Direct Yellow  96
Acid Black 243
Disperse Yellow 126
Disperse Yellow 184
ACID BROWN 420
Disperse Yellow 104
Direct Brown 223
Acid Orange  94
DISPERSE NAVY BLUE EXSF 300%
disodium 5-(4-(4-sulphophenylazo)phenylazo)salicylate
25 DISPERSE ORANGE-25
1 VAT GREEN 1
Reactive Yellow X-RG
Leather Black SB
Neutral Black B
Disperse Grey GMS
Leather Spray Blue A
Leather Spray Dark Brown DB
Acid Brown SLO
Functional Coupling Agent
Disperse Black SHN
Leather Brown 2R
Disperse Orange M-G
Disperse Dark Brown BR
Leather Red Brown D
C.I.Disperse Blue 371:1
Disperse Blue H3R
VAT DYES GREEN
Reactive Black K-BR
"Direct Black M,Tardirect Black M"
Disperse Brown BF
Acid Leather Spray Black
Leather Bordeaux B
Neutral Grey S-G
Neutral cellulose
Degreasing agent for leather
Neutral Navy Blue R
Tanning agent for leather
Leather Brown RN
Leather Spray Black ATS
Neutral Black BG
C.I.Acid Brown 214
Sulphur Grass Green GR
Disperse Grey
CATIONIC DYESTUFF
1-amino-4-[[4-[(dimethylamino)methyl]phenyl]amino]anthraquinone
Sulphur Indanthrene Blue RNX
C.I.Acid Black 242
Leather Red Brown GR
Neutral Red 2B
Dispersion mill
C.I.Mordant Yellow 3
Neutral Violet B
Leather Grey DN
Acid Brown SLP
Leather Spray Red B
Direct Blending Series
acidic shampoo
Acid Blue 127
Direct Pink 5B
Disperse Red 2R
SULPHUR BLUE GREEN CV 100%
CATIONIC GREEN MELACHITE
Cationic Red x-GRL
disperse Yellow RGFL
C.I. Acid blue 112
Acid Black ER
Leather coating agent
Neutral Orange RN
Acid Yellow GGR
Neutral Brown B
Disperse Red RFS
Disperse Black BLL
"4-Amino-5-hydroxy-3-[(4-nitrophenyl)azo]-6-(phenylazo)-2,7-naphthalenedisulfonic acid disodium salt mixt. with 4-[(2-hydroxy-1-naphthalenyl)azo]benzenesulfonic acid monosodium salt"
"2-[[4-[[4-[bis(2-hydroxyethyl)amino]-6-chloro-1,3,5-triazin-2-yl]amino]phenyl]azo]-p-cresol"
DIRECT BLACK DYES
(vulcanization) accelrator P
amanil developed black bhsw
Basic Dyestuff
Solvent Red SR
Dust remover for leather
Vat Brown Series
Leather Spray Black DMS
Dispersable anthraquinone
Sulphur Olive Green G
Hydrogen sulfide scavenging agent
Leather Spray Yellow GN
Leather Spray Black 2GB
Neutral Grey G
Solvent Green HR
Finishing agent for leather
Acid Brown N2R
PROCION RED MX-5B
DISPERSE DYE
AcidChromeBlue
Neutramycin
C.I. Acid violet 66
Leather Spray Dark Brown NR
Leather Spray Dark Blue R
Leather Spray Yellow GRA
Acid Brown SLM
Leather Spray Scarlet GB
Leather Spray Yellow Brown R
Leather Spray Black NT
impregnanting agent for leather
Neutral corinth B
Leather Spray Black MT
Leather Spray Black R
Leather Spray Black DMX
Direct Tangerine
Neutral Blue 2R
Direct Black ET
Leather Spray Black RN
Leather Spray Brown GRF
Leather Spray Black G
Leather Spray Black 615
Leather Spray Scarlet GR
Disperse Black D-W
Disperse Orange 78
Vat Yellow Brown G
Direct Chestnut Brown
Sulphur Grass Green G
Basic Fruit Green
Neutral Bordeaux GRL
NaturalRed
C.I. Acid Brown 345
Leather Spray Brown M
Neutral Red G
Neutral Grey BL
Acid Brown SLN
Leather Brown 2S
High alkali washing agent
3-[ethyl[3-methyl-4-[(6-nitrobenzothiazol-2-yl)azo]phenyl]amino]propiononitrile
1-amino-4-[[4-[(dimethylamino)methyl]phenyl]amino]anthraquinone monohydrochloride
C.I. SULPHUR BLUE 7
Vat Golden Yellow GK
Leather Spray Red GRS
Leather Spray Bordeaux RB
Anticorrosion agent for leather
Leathr Fast Red GS
Neutral Yellow GS
Solvent Green GH
Disperse Black RD-2BL(N)
Solvent Yellow RN
Sulphur Brilliant Green F
Leather Dark Green BE
Neutral Dyestuff
DIRECT FAST BLACK G
Smooth agent for leather
13 REACTIVE ORANGE 13
VAT DYES PINK
Vat Brown BR
leather protein powder
Neutral Black MBL
Acid Blue SLD
Glazing oil for leather
EXTRAN MA02 NEUTRAL
Acid Orange  88
3B
Disperse Violet RS
Leather Spray Red 4B
Leather Yellow MR
C.I.Acid Violet 14
Neutral Yellow 2R
Leather Spray Green GB
Neutral Green B
